bkirilenko@delta:/projects/hillerlab/genome/src/make_lastz_chains/test_out_new_v_delta/TEMP_axtChain (rearrangement)$ /projects/hillerlab/genome//bin/x86_64/axtChain -psl -verbose=0 -minScore=10000 -linearGap=loose /beegfs/projects/hillerlab/genome/src/make_lastz_chains/test_out_new_v_delta/TEMP_axtChain/split_psl/bundle.0.psl /beegfs/projects/hillerlab/genome/src/make_lastz_chains/test_out_new_v_delta/target.2bit /beegfs/projects/hillerlab/genome/src/make_lastz_chains/test_out_new_v_delta/query.2bit stdout
##matrix=axtChain 16 91,-114,-31,-123,-114,100,-125,-31,-31,-125,100,-114,-123,-31,-114,91
##gapPenalties=axtChain O=400 E=30
chain 722144 mock1r 100000 + 457 83518 mock1q 210000 + 8794 209320 1
12	1	0
25	1	0
21	1	0
20	2	0
17	1	0
27	0	3
34	6	0
31	2	0
36	7	0
10	0	2
17	0	12
23	4	0
12	1	0
45	0	3
43	0	1
48	0	3
9	0	46
4	0	14
11	0	9
26	0	70
21	0	2
21	0	3
11	0	2
37	2	0
19	0	5
26	0	2
28	1	0
27	0	6
31	1	0
15	0	1
52	0	4
51	2	0
14	13	0
11	11	0
62	13	0
61	5202	6236
28	0	6
11	0	4
24	5	0
32	1	0
11	0	3
36	0	2
26	1	0
73	2	0
58	6	0
21	0	2
24	2	0
39	0	1
24	1	0
27	1	0
27	20	0
9	1	0
45	0	8
23	0	3
9	10	0
11	0	6
21	0	4
72	1	0
35	1	0
32	0	7
89	0	1
32	0	4
82	316	601
14	0	6
49	0	1
18	4	0
17	0	3
27	0	169
36	0	2
4	0	2
49	0	6
25	0	9
22	2	0
31	15	0
3	4	0
13	1	0
15	21	0
7	0	1
5	3	0
26	0	11
18	3	0
32	0	1
36	5	0
7	1	0
14	0	3
51	0	2
67	3	0
6	1	0
22	0	9
45	0	3
18	8	0
58	0	20
14	0	143
9	0	8
4	0	33
6	0	17
30	1	0
12	1	0
45	0	2
32	0	7
34	0	1
20	0	1
85	0	1
24	0	10
19	0	380
15	1	0
14	2	0
22	0	1
308	0	1
16	1	0
21	0	1
24	0	3
6	2	0
7	3	0
27	21	213
11	0	101
19	0	2
15	0	6
12	1	0
15	0	1
28	0	1
60	2	0
40	14	0
12	1	0
24	0	1
33	0	1
57	0	1
8	0	5
27	2	0
32	5	0
5	7	0
48	4	0
27	21	0
17	3	0
21	0	1
22	1	0
70	1	0
18	0	7
17	0	1
4	0	1
11	2	0
27	72	0
49	0	7
9	4	0
39	0	2
7	3	0
11	0	2
14	435	48
50	0	2
31	0	8
13	0	1
9	0	4
87	2	0
31	0	1
31	24	19
41	1	0
6	2	0
42	6	0
14	0	3
10	0	135
50	15	0
16	3	0
10	2	0
21	0	2
14	0	3
16	0	5
13	7	0
16	4	0
3	3	0
47	0	1
26	0	4
13	0	3
40	1	0
6	2	0
36	0	1
20	1	0
13	0	11
15	0	28
6	0	1
16	0	21
13	0	40
6	0	21
53	0	7
20	19	0
14	1	0
17	53	0
62	1	0
19	2	0
49	0	15
24	3	0
18	1	0
29	1	0
3	2	0
31	4	0
19	4	0
18	19	0
10	0	3
13	10	0
37	1	0
15	4	0
34	0	1
5	0	1
56	0	6
19	1	0
36	0	2
13	4	0
23	1	0
11	8	0
31	1	0
17	0	1
8	1	0
17	2	0
31	5	0
10	0	13
23	0	57
256	0	7
16	2	0
7	0	6
23	3	0
32	1	0
24	1	0
22	1667	113
62	3	0
41	317	3
18	0	2
14	0	1
22	5	0
40	4	0
10	0	1
28	0	1
37	2	0
15	1	0
20	0	9
49	3	0
18	0	1
48	1	0
23	1	0
23	0	1
5	0	2
10	1	0
16	13	0
8	1	0
16	2	0
33	2	0
37	3	0
9	2	0
15	4	0
59	0	2
18	14	0
132	1	0
31	0	2
6	19	0
22	1	0
17	123	0
3	22	0
10	37	0
35	39	0
7	16	0
16	20	0
11	35	0
39	3	0
23	0	17
24	8	0
9	14	0
33	7	0
14	1	0
29	0	3
14	35	0
6	1	0
64	2	0
11	2	0
30	33	0
11	3	0
8	9	0
16	0	8
18	0	8
39	1	0
73	7	0
70	11	0
22	0	11
19	0	11
12	2	0
75	0	1
31	1	0
183	1877	1319
46	20	0
19	8	0
3	3	0
10	1	0
39	0	2
29	3	0
13	6	0
18	1	0
8	170	86
24	8	0
43	6	0
14	0	1
15	12	0
18	1	0
17	2	0
14	3	0
18	5	0
44	0	1
15	5	0
26	2	0
20	0	4
18	0	14
4	0	5
7	0	7
9	0	3
35	6	0
19	0	3
10	5	0
16	2	0
39	2	0
25	7	0
47	0	76959
63	0	1
55	0	2
34	0	9
77	1	0
15	3	0
49	1	0
33	5	0
7	0	1
21	1	0
53	0	4
8	5	0
11	8	0
15	4	0
20	1	0
32	8	0
66	1	0
38	2	0
21	3	0
9	2	0
8	0	8
96	2	0
16	0	2
51	1	0
43	5	0
7	0	2
52	20	0
27	1	0
50	28	0
30	0	5
37	2	0
13	7	0
31	48	0
23	4	0
13	2	0
22	5	0
16	12	0
11	0	2
19	9	0
10	2085	1259
21	0	6
34	2	0
23	65	215
25	1	0
58	4	0
3	0	3
8	0	28
48	1	0
101	10	0
49	0	3
75	4	0
21	0	3
144	3	0
58	0	5
30	1	0
33	0	4
39	0	4
28	4	0
7	0	3
30	0	1
131	1	0
8	1	0
60	0	1
17	4	0
35	1	0
21	6	0
39	1	0
20	0	4
52	7	0
24	13	0
19	1	0
6	0	10
12	3	0
14	0	38
20	4	0
29	0	4
32	0	7
45	2	0
31	0	5
44	49	21
58	0	30
18	0	3
28	2	0
11	0	1
78	5	0
25	10	0
32	1	0
13	2	0
43	0	4
16	6	0
32	0	3
20	4	0
46	3	0
10	3	0
30	1	0
19	0	11
37	0	2
20	2	0
14	0	1
29	1	0
6	2	0
65	1	0
8	11	0
48	1	0
22	0	2
6	6	0
18	1	0
18	1	0
20	0	6
21	0	4
14	1	0
77	0	1
18	0	3
58	10	0
17	5	0
32	1	0
17	2	0
13	10	0
39	2	0
21	4	0
89	1	0
